Rank,Title,Lifetime Gross,Year
130,Harry Potter and the Chamber of Secrets,"$262,641,637",2002
131,The Amazing Spider-Man,"$262,030,663",2012
132,The Incredibles,"$261,441,092",2004
133,How the Grinch Stole Christmas,"$260,715,005",2000
134,Captain America: The Winter Soldier,"$259,766,572",2014
135,The Hobbit: The Desolation of Smaug,"$258,387,334",2013
136,The Lego Movie,"$257,966,122",2014
137,Star Trek,"$257,730,019",2009
138,I Am Legend,"$256,393,010",2007
139,The Blind Side,"$255,982,860",2009
140,The Hobbit: The Battle of the Five Armies,"$255,138,261",2014
141,The Hangover Part II,"$254,464,305",2011
142,Despicable Me,"$251,557,985",2010
143,Batman,"$251,409,241",1989
144,Night at the Museum,"$250,863,268",2006
145,Men in Black,"$250,690,539",1997
146,Harry Potter and the Prisoner of Azkaban,"$250,105,651",2004
147,Moana,"$248,757,044",2016
148,Raiders of the Lost Ark,"$248,159,971",1981
149,Toy Story 2,"$245,852,179",1999
150,Transformers: Age of Extinction,"$245,439,076",2014
151,Cars,"$244,082,982",2006
152,Ghostbusters,"$243,578,797",1984
153,Bruce Almighty,"$242,829,261",2003
154,Twister,"$241,830,615",1996
155,My Big Fat Greek Wedding,"$241,438,208",2002
156,Maleficent,"$241,410,378",2014
157,Pirates of the Caribbean: On Stranger Tides,"$241,071,802",2011
158,Shrek Forever After,"$238,736,787",2010
159,Fast & Furious 6,"$238,679,850",2013
160,Brave,"$237,283,207",2012
161,Oz the Great and Powerful,"$234,911,825",2013
162,Beverly Hills Cop,"$234,760,478",1984
163,X-Men: The Last Stand,"$234,362,462",2006
164,War of the Worlds,"$234,280,354",2005
165,Fantastic Beasts and Where to Find Them,"$234,037,575",2016
166,X-Men: Days of Future Past,"$233,921,534",2014
167,Cast Away,"$233,632,142",2000
168,The Exorcist,"$233,005,644",1973
169,Doctor Strange,"$232,641,920",2016
170,The Lost World: Jurassic Park,"$229,086,679",1997
171,Justice League,"$229,024,295",2017
